||||
|Command___________________________________________|Team_Member|Status___|
|vm-recover________________________________________| _________| _______|
|vm-reset-powerstate_______________________________| _________| _______|
|vm-resume_________________________________________| _________| _______|
|vm-retrieve-wlb-recommendations___________________| _________| _______|
|vm-shutdown_______________________________________| _________| _______|
|vm-snapshot_______________________________________| _________| _______|
|vm-snapshot-with-quiesce__________________________| _________| _______|
|vm-start__________________________________________| _________| _______|
|vm-suspend________________________________________| _________| _______|
|vm-uninstall______________________________________| _________| _______|
|vm-unpause________________________________________| _________| _______|
|vm-vcpu-hotplug___________________________________| _________| _______|
|vm-vif-list_______________________________________| Matt_____| review_|
|xe________________________________________________|All________| _______|
